id,trigger,conditions,script,text,options,notes
greetingFOBTOffNormal,OpenCommLink,"$faction.id == fob
!$isHostile
!$player.transponderOn
$entity.relativeStrength >= 0",,"""Your body cannot hide your intent. Stay calm.""","turnOnTransponder:Turn on transponder
cutCommLink:Cut comm link",
greetingFOBTOffNormal_borkenPlayer,OpenCommLink,"$faction.id == fob
!$isHostile
!$player.transponderOn
$entity.relativeStrength >= 0
$player.isBorken",,"""What are you thinking? We can all watch you.""","turnOnTransponder:Turn on transponder
cutCommLink:Cut comm link",
greetingFOBTOffWeaker,OpenCommLink,"$faction.id == fob
!$isHostile
!$player.transponderOn
$entity.relativeStrength < 0",,"""Before It sees you, give us your name.""","turnOnTransponder:Turn on transponder
cutCommLink:Cut comm link",
greetingFOBTOffWeaker_borkenPlayer,OpenCommLink,"$faction.id == fob
!$isHostile
!$player.transponderOn
$entity.relativeStrength < 0
$player.isBorken",,"""Kin, I suggest you not act rashly. State your identity.""","turnOnTransponder:Turn on transponder
cutCommLink:Cut comm link",
greetingFOBFriendly,OpenCommLink,"$faction.id == fob
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","**""Friend, the Ancestral God's light will shine upon you forever. May we gather more knowledge and truth in this material world.""**",,
greetingFOBFriendly_borkenPlayer,OpenCommLink,"$faction.id == fob
$faction.friendlyToPlayer
$player.isBorken","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Kin, may the Ancestral God return and the watchers rejoice.""
OR
""Kin, are you enjoying the gaze of the 33rd victim? Recently, I’ve been feeling strange, as if the world doesn’t look the same as before.""",,
greetingFOBHostileWeaker,OpenCommLink,"$faction.id == fob
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"""The Abyss gazes into you…""",cutCommLink:Cut comm link,
greetingFOBHostileWeaker_borkenPlayer,OpenCommLink,"$faction.id == fob
$entity.isHostile
$entity.relativeStrength < 0
$player.isBorken",$entity.ignorePlayerCommRequests = true 1,"""Traitors are unforgivable.""
OR
""Never bow to traitors!""",cutCommLink:Cut comm link,
greetingFOBHostileWeakerDefiant,OpenCommLink,"$faction.id == fob
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$entity.ignorePlayerCommRequests = true 1,"""Did you know? That is not dead which can eternal lie, and with strange aeons even death may die.""",cutCommLink:Cut comm link,
greetingFOBHostileWeakerDefiant_borkenPlayer,OpenCommLink,"$faction.id == fob
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding
$player.isBorken",$entity.ignorePlayerCommRequests = true 1,"""Motahimos has made you spineless, hasn't he? Fool.""",cutCommLink:Cut comm link,
greetingFOBHostileStronger,OpenCommLink,"$faction.id == fob
$entity.isHostile
$entity.relativeStrength >= 0",$entity.ignorePlayerCommRequests = true 1,"""Human, cry and despair, you have only yourself to blame for venturing too deep into this dark and vast ocean...""",cutCommLink:Cut comm link,
greetingFOBHostileStronger_borkenPlayer,OpenCommLink,"$faction.id == fob
$entity.isHostile
$entity.relativeStrength >= 0
$player.isBorken",$entity.ignorePlayerCommRequests = true 1,"""The Ancestral God save your soul, you traitor! Go and repent to the Lord of the All-Tentacles!""",cutCommLink:Cut comm link,
greetingFOBNeutral,OpenCommLink,"$faction.id == fob
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Never lose your sense of awe, human.""",,
greetingFOBNeutral_borkenPlayer,OpenCommLink,"$faction.id == fob
$faction.neutralToPlayer
$player.isBorken","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Kin, watch yourself.""",,
flavorTextMarketFOB,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == fob","AddText ""An alien atmosphere permeates the market, strange and mysterious. Everyone seems to be in high spirits, but their tentacles lack enthusiasm. Among the symbols and sculptures filled with religious meaning, you feel as if you can hear an ancient call, accompanied by a fear reminiscent of the deep sea."" textGrayColor",,,
flavorTextMarketFOB_borkenPlayer,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == fob
$player.isBorken","AddText ""The noise in the marketplace puts your mind at ease, like a memory taking you back to some childhood, but you can't recall what form you were in then. The bustling crowd emits a chaotic smell, making it almost impossible to distinguish between humans and the Borken. This sense of chaos makes you feel as though you've lost something, but you know you've gained more."" textGrayColor
",,,
relLevelNeutralFob,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == fob",,The Borken advocate peace and sees all living beings as equals.,,
relLevelNeutralFob_borkenPlayer,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == fob
$player.isBorken",,Why are we strangers?,,
relLevelFavorableFob,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == fob",,The Borken look past the strange glances you still give them.,,
relLevelFavorableFob_borkenPlayer,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == fob
$player.isBorken",,"Kin, Ascension should not daunt you.",,
relLevelWelcomingFob,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == fob",,"The Borken sometimes take you to visit statues of their Ancestral God, though you remember nothing after returning home.
",,
relLevelWelcomingFob_borkenPlayer,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == fob
$player.isBorken",,"In one body, we roam the starry sea together.",,
relLevelFriendlyFob,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == fob",,"The Borken traders treat you as an honored guest; perhaps this will help you build ties with other factions.
",,
relLevelFriendlyFob_borkenPlayer,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == fob
$player.isBorken",,"""The Ancestral God has reshaped you and me, and has remade Cthulasus.""",,
relLevelCooperativeFob,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == fob",,"They will aid you in your long interstellar journey, convincing you that eternal sleep does not mean death.",,
relLevelCooperativeFob_borkenPlayer,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == fob
$player.isBorken",,"Loyal Cthulasus Borken, with me here, you will never feel alone again.
",,
relLevelSuspiciousFob,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == fob",,"You live in harmony with the Borken, but there always seems to be something lurking in the corner of your eyes.",,
relLevelSuspiciousFob_borkenPlayer,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == fob
$player.isBorken",,"""You reject me. You fear me.""",,
relLevelInhospitableFob,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == fob",,"The Borken people ignore you, but sometimes you hear wails from deep space.
",,
relLevelInhospitableFob_borkenPlayer,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == fob
$player.isBorken",,"""Why are you doing this, why? Are you still my kin?""",,
relLevelHostileFob,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == fob",,Disembodied voices haunt you in your head. It is as if the Borken are staring at you from every direction.,,
relLevelHostileFob_borkenPlayer,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == fob
$player.isBorken",,"""Traitor! The grace of the Ancestral God will leave you forever!""",,
relLevelVengefulFob,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == fob",,"They are everywhere, fear always at your side. The whispers of the Borken echo in your ears, cold with hatred. Dusk approaches, and the Abyss watches.",,
relLevelVengefulFob_borkenPlayer,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == fob
$player.isBorken",,"""The Star of Eternal Life will condemn you for eternity, and I will become your nightmare.""",,
marketPostOpenFobUntrustworthy,MarketPostOpen,"$hasMarket
$faction.id == fob score:1000
RepIsAtBest $faction.id SUSPICIOUS
RepIsAtWorst $faction.id INHOSPITABLE","$marketLeaveTooltip = ""$TheFaction does not trust you."" 0
$menuState = main 0
$tradeMode = NONE 0
FireAll PopulateOptions",You are $relAdjective with $theFaction and denied access to the markets of $market. You are sternly advised to leave this system as soon as possible.,,
marketPostOpenFobHostile,MarketPostOpen,"$hasMarket
$faction.id == fob score:1000
RepIsAtBest $faction.id INHOSPITABLE","$marketLeaveTooltip = "" $TheFaction does not trade with outsiders."" 0
$menuState = main 0
$tradeMode = NONE 0
FireAll PopulateOptions","Your scanner detects powerful energy fluctuations of unknown origin at $entityName and a strange voice is ringing in your ear: ""You defile the land of the old gods, leave now, before Motta Sheamus crushes your spine.""",,
#First Contact,,,,,,
FOB_firstContact_marketDock,MarketPostDock,"$faction.id == fob
!$faction.FOB_firstContactByPlayer score:1000",,"This is your first time entering Borken territory, and until now, you've never directly interacted with the Borken people. While others in the Persean Sector seem to consider the diverse forms of the Borken as common knowledge, you find it utterly perplexing that your adjutant could simultaneously recognize a being with an eyeball for a head, an octopus-faced creature, and a lump of decaying flesh encased in metal as all belonging to the same group: the Borken.

As your mind wanders, an anonymous communication breaches your firewall and reaches your private terminal. The message contains only a line of ""scribbles.""

Without a doubt, it’s written in the Borken language. You vaguely recognize the first few characters as meaning ""Hello,"" but the rest is...","1:FOB_firstContact_name1:""Primordial Omen...?""
2:FOB_firstContact_name2:""Abyssal Manifestation...?""",
FOB_firstContact_optionName1,DialogOptionSelected,$option == FOB_firstContact_name1,"$player.fobName = ""Primordial Omen""
Highlight ""Primordial Omen""
FOB_AddSkill ""FOB_skill_befall""","""Primordial Omen...?"" You blink in confusion as the meaning of the following characters briefly flashes in your mind, only to slip away just as quickly.

You feel a wave of dizziness as a sound from the very essence of life echoes in your ears. It feels like the sensation of being in the womb, yet also like being submerged in a pitch-black ocean by some unseen force.

When you come to, the message is gone, as if it had never appeared. You glance at the time and notice that it seems to have reversed by a few seconds. Then, the memory of it all rapidly recedes from your mind, but you try to hold on to it—

Your adjutant reminds you that there are tasks to attend to. You nod absentmindedly, acknowledging the reminder. You were just momentarily distracted—it's only natural to feel a bit reflective on your first visit to alien territory.",FOB_firstContact_end:Return,
FOB_firstContact_optionName2,DialogOptionSelected,$option == FOB_firstContact_name2,"$player.fobName = ""Abyssal Manifestation""
Highlight ""Abyssal Manifestation""
FOB_AddSkill ""FOB_skill_befall""","""Abyssal Manifestation...?"" Your eyes flicker with doubt and suspicion. The meaning of those words emerges like morning mist, shifting and elusive, like a shooting star that vanishes as quickly as it appears.

A wave of dizziness washes over you, and you think you hear whispers from the very essence of life—a warmth from the womb, or perhaps the deep, penetrating murmurs of something lurking in the unfathomable depths of the ocean.

When you regain your senses, the message has already dissipated like smoke, leaving no trace in this world. You glance at the clock on your personal PDA, noticing that time seems to have mysteriously flowed backward by a few moments. Then, these memories rapidly recede like the tide, and you try to grasp onto the fleeting moments before they fade—

Your adjutant’s voice pulls you out of your reverie, reminding you of the tasks still at hand. You respond calmly, attributing it to a brief distraction—it’s only natural to be moved by a few emotions during your first visit to alien territory.",FOB_firstContact_end:Return,
FOB_firstContact_end,DialogOptionSelected,$option == FOB_firstContact_end,"$faction.FOB_firstContactByPlayer = true
ShowDefaultVisual
FireBest MarketPostDock",,,
#  星能摄取站 station absorb (Stellar Energy Absorption Station),,,,,,
FOB_sf_sab_openDialog,OpenInteractionDialog,$FOB_isSAB score:1000,"ShowDefaultVisual
PrintDescription 3
FireAll PopulateOptions","""Your $shipOrFleet approaches $entityName.""",,
FOB_sf_sab_optionPopulated,PopulateOptions,"$customType == FOB_station_absorb
$FOB_isSAB
FOB_SF_CMD hasSkill
!$isResearched score:1000","Highlight ""Zulan Eye""
SetStoryOption FOB_sf_sab_activate general ""Let your consciousness infiltrate it.""","""You vaguely sense an anomalous node in the void, just half a safe docking distance from the energy storage warehouse. This node gives you a familiar feeling—it's the frequency of the 'Zulan Eye.'""",FOB_sf_sab_activate:Access the node,
FOB_sf_sab_d_optionPopulated,PopulateOptions,"$customType == FOB_station_absorb_d
$FOB_isSAB
FOB_SF_CMD hasSkill
!$isResearched score:1000","Highlight ""Zulan Eye""
SetStoryOption FOB_sf_sab_activate general ""Let your consciousness infiltrate it.""","""The dilapidated space station can still scan various chaotic signals. You close your eyes, and that unique sensation guides your gaze to the void, where a small, still-operational signal transmitter floats. Following the rhythm of the spectrum, you find the vacuum's node, and your consciousness weaves through it—this is the frequency of the 'Zulan Eye.'""",FOB_sf_sab_activate:Access the node,
FOB_sf_sab_optionPopulatedResearched,PopulateOptions,"$FOB_isSAB score:1000
$isResearched score:1000",,"""You have acquired the knowledge stored within this absorption station.""",,
FOB_sf_sab_optionPopulatedLeave,PopulateOptions,$FOB_isSAB score:1000,"SetShortcut defaultLeave ""ESCAPE""",,defaultLeave:Leave,
FOB_sf_sab_activateSelected,DialogOptionSelected,$option == FOB_sf_sab_activate,"Highlight ""Stellar Financing"" ""0.05%""
FOB_SF_CMD activate
$isResearched = true
FireAll PopulateOptions","You accessed the hidden node, and your algorithm received a partial upgrade.

The efficiency of Stellar Financing has increased by 0.05%.",,
#PCH bar,,,,,,
FOB_pch_open_addEvent,AddBarEvents,"$faction.id == fob
!$isHostile
FOB_PchBarCouldShow score:1000","AddBarEvent FOB_pch_open_barEvent ""Approach the salesperson and see what they are selling."" ""A Borken is talking to some people who look like officers. Judging by their attire, the Borken seems to be a salesperson."" 50,255,197,255
",,,
FOB_pch_open_friendlyEnough,DialogOptionSelected,"$option == FOB_pch_open_barEvent
",FOB_PchBarShowPerson,"The Borken notices you, signaling to the surrounding officers with its octopus-like tendrils to wait for a moment before approaching you.

""I can tell that you're a significant client,"" it says in a deep, clear voice. ""I believe you might be interested in something more advanced. This isn't just some overused sales pitch—only those whom the Foundation of Borken trusts enough have the opportunity to use this technology.""","1:FOB_pch_open_talk0:Indicate your interest
2:backToBar:""Sorry, not right now"" (leave)",
FOB_pch_open_notFriendlyEnough,DialogOptionSelected,"$option == FOB_pch_open_barEvent
RepIsAtBest $faction.id SUSPICIOUS",,"The Borken immediately goes silent and gives you a somewhat distrustful look.

""Friend, it seems that your relationship with our Foundation is not good enough.""

It stares at you until you uneasily walk away.",1:backToBar:Leave,
FOB_pch_open_talk0,DialogOptionSelected,$option == FOB_pch_open_talk0,,"""I think it’s best if we discuss this in a more private place, like the room next door. I don’t really want certain people knowing about this Borken technology.""","1:FOB_pch_open_talk1:Agree
2:backToBar:Make an excuse to leave its scheming",
FOB_pch_open_talk1,DialogOptionSelected,$option == FOB_pch_open_talk1,"SetTextHighlights ""Crystalline Rift"" ""Remote Item Transfer Technology""","You enter a somewhat secluded room, and the Borken begins to introduce his product: ""Have you heard of the Crystalline Rift?""

""I think you will be interested in this Remote Item Transfer Technology. Owning a Private Crystalline Rift means you no longer need to consider supply points when charting your course, and it also eliminates the enormous costs of establishing forward bases,"" he pauses, ""Deep Hyperspace is forever echoing with distress signals of unknown origin—pirates, stranded explorers, even ancient wrecked ships—no one likes to bet their life on others.""","1:FOB_pch_open_talk2:Indicate your interest
2:backToBar:Explain that supply is never a problem for you and leave",
FOB_pch_open_talk2,DialogOptionSelected,$option == FOB_pch_open_talk2,"SetTextHighlights ""Galactic Anchor Points"" ""outside the anchor points"" ""free""","""Very well, if you’re willing, we can sign the contract right now.""

He takes out two personal terminals and places them on the table.

""This is the contract, and it also serves as the operating terminal for the Crystalline Rift. Through this terminal, you can purchase and mark Galactic Anchor Points, allowing us to quickly locate you and open a transport channel based on the anchors. Of course, you can also send communication requests from outside the anchor points, but it will take more time and incur an additional fee. Additionally, you don’t need to worry about security, as it is only linked to the Crystalline Rift, and no hacker can remotely breach this system.""

""Our relay station is set up here, and after you sign the contract, we’ll establish an anchor point for you here free of charge. Since this is a test phase, we’ll only charge you for capacity and service upgrades, meaning you can have a smaller capacity Private Crystalline Rift without spending any star credits.""","1:FOB_pch_open_talk3:Sign the contract
2:backToBar:Explain that you aren't ready to sign and leave",
FOB_pch_open_complete,DialogOptionSelected,$option == FOB_pch_open_talk3,"Highlight $player.fobName
FOB_PchBarComplete","""Thank you for your trust in the Foundation of Borken, $player.fobName, and may you be watched over by the Gods.""

The Borken narrows its eyes, and with an expression on its face similar to a smile, it stands up, gives you a meaningful look, and turns to leave.",0:backToBar:Return to the bar,
,,,,,,
#PCH,,,,,,
Pch_OpenDialog,OpenInteractionDialog,$isPchMarket score:1000,"ShowDefaultVisual
FireBest MarketPostOpen","After some time, you receive a communication request from the Borken Foundation.

""We're about to arrive. Please clear the marked area.""

You follow the instructions, and soon after, the entire fleet's collective eardrums pop. A rift tears open in space, accompanied by a blinding light pouring out of the void. For a moment, you think you see a few tentacles writhing within the rift, but when you mention it later, no one else seems to recall seeing anything.",,
Pch_MarketFlavor,TradePanelFlavorText,$isPchMarket score:1000,"AddText ""A faint, colorful streak of light passes through the eyes of lower-dimensional beings in deep space. In the designated area, a spatial rift, undetectable by electronic instruments, gradually begins to open.\n\nA large Borken cargo ship slowly emerges from the Rift. On the large screen, after establishing communication, you see that all the Borken staff are waiting for your instructions."" textGrayColor",,,
