id,type,text1,text2,text3,text4,notes
FOB_roaringbolt_f,WEAPON,A tracking weapon that uses ion projectiles coated with magnetorheological fluid. The stress of fitting this weapon into the compact frame of a fighter caused a team of Borken engineers to lose their tentacles.,,"

",,
FOB_roaringbolt_s,WEAPON,"A tracking weapon that uses ion projectiles coated with magnetorheological fluid. As the prototype of this series, the Mk.I has limited capacity, but it boasts some of the highest burst power among small weapons.",,"

",,
FOB_roaringbolt_m,WEAPON,"A tracking weapon that uses ion projectiles encased in magnetorheological fluid for attacks. The Mk.II abandons the magazine mechanism of its predecessor, allowing for stable burst output when the capacitor is sufficiently charged.",,"

",,
FOB_roaringbolt_l,WEAPON,"A tracking weapon that uses ion projectiles encased in magnetorheological fluid for attacks. The Mk.III, as the final model in the series, incorporates the development experience of its predecessors and is capable of delivering the most intense short-term firepower.",,"

",,
FOB_halocannon_m,WEAPON,"Third generation of the Halo microwave cannon. It fires rings of high-energy magnetorheological fluid, delivering massive damage in an instant, with the potential to spread that damage across the entire hull upon impact.",,,,
FOB_halocannon_l,WEAPON,"A larger version of the 3rd-gen Halo microwave cannon. It fires rings of high-energy magnetorheological fluid, delivering massive damage in an instant, with the potential to spread that damage across the entire hull upon impact.",,,,
FOB_greystab_i,WEAPON,"The Borken’s popular line of burst fire weapons, projecting a highly destructive particle beam ablating shields and armor alike.",,,,
FOB_greystab_iii,WEAPON,The Borken’s popular line of burst fire weapons. This third generation model trades fire rate for improved burst damage.,,,,
FOB_greystab_iv,WEAPON,The Borken’s popular line of burst fire weapons. This fourth generation version boasts improved efficiency with greater energy output.,,,,
FOB_greystab_v,WEAPON,"The Borken’s popular line of burst fire weapons. The Mk.V is the most powerful and complex of the series, with a challenging installation process that can only be done at the shipyard. While its flux efficiency isn’t as good as its predecessors, its penetration and range have reached their limits.",,,,
FOB_greystab_color,WEAPON,"""Sustained by flowing power, imbued in the name of love.""",- Luster the Desire,,,
FOB_fixg_s,WEAPON,"Miniaturized quantum detonation missile launcher. While the blast yield of each missile is quite low, the launcher is capable of sustained fire for long periods before needing to recharge.",,,,
FOB_fixg_m,WEAPON,"Standard quantum detonation missile launcher. Firing bursts of multiple missiles at once, it is effective at saturating enemy point-defense systems.",,,,
FOB_fixg_l,WEAPON,"Large-scale quantum detonation missile launcher. Firing large numbers of missiles at once, it can overwhelm most point-defense systems.",,,,
FOB_fixg_z,WEAPON,Integrated version of the quantum detonation missile launcher. Fires a large sustained barrage of missiles.,,,,
FOB_fixg_n,WEAPON,"A special persistent quantum missile designed for the Nyogtha, firing a large number of fragile missiles to overwhelm small targets.",,,,
FOB_fadedflak_s,WEAPON,"A lightweight and efficient flak system, offering strong anti-missile defense at short ranges.",,,,
FOB_fadedflak_m,WEAPON,"Upscaled version of the Borken flak system, boasting a high rate of fire for improved saturation and defense against sustained missile barrages.",,,,
FOB_plasmoid_s,WEAPON,A shield-piercing cannon that charges its ammunition using quantum fluctuations caused by entering and exiting hyperspace. Must be fired under optimal conditions to achieve maximum killing efficiency.,,,,
FOB_plasmoid_m,WEAPON,A shield-piercing cannon that charges its ammunition using quantum fluctuations caused by entering and exiting hyperspace. The dual-barrel design of the Mk.II model further improves flux efficiency.,,,,
FOB_plasmoid_l,WEAPON,"A shield-piercing cannon that charges its ammunition using quantum fluctuations caused by entering and exiting hyperspace. As the largest weapon in the series, its reinforced barrel fires kinetic projectiles with higher energy density, making its lack of efficiency insignificant compared to its shield-breaking power.",,,,
FOB_raska,WEAPON,"Melting Anti-Armor Cannons that have been in use since the Borken Space war. The medium-sized Raska boasts a steady output of explosive damage, highly dangerous to smaller vessels.",,,,
FOB_skorka,WEAPON,"Melting Anti-Armor Cannons that have been in use since the Borken Space war. The large-sized Skorka fires an intense burst, quickly tearing through enemy armor if not mitigated by shields.",,,,
FOB_sinerepeater_s,WEAPON,"Borken's multi-functional EMP anti-aircraft ion cannon. When its barrage hits small targets, it can trigger energy explosions. The initial version had the core abilities of the entire series, but suffered from insufficient range and accuracy.",,,,
FOB_sinerepeater_m,WEAPON,"Borken's multi-functional EMP anti-aircraft ion cannon. The Mk.II model, as an incremental upgrade, has greatly improved barrage coverage.",,,,
