name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Greystab Mk.I,FOB_greystab_i,1,0.75,800,600,367.5,,,100,10,6,,,,ENERGY,,325,0.8,0.4,1.5,2.3,,,,,10000,,,,,,"energy2,beam3,fob_bp",,Foundation of Borken,,Anti Armor,,,,,,,"If the ship has %s, its cooldown becomes %s.",Deepspace Navigation | 0,,8200
Roaring Thunderbolt Mk.I,FOB_roaringbolt_s,1,,500,600,,150,150,10,15,7,6,0.5,3,ENERGY,180,,0.5,0.3,3,0.1,3,12,3,10,,700,,,,,"energy4,fob_bp",,Foundation of Borken,,General,,Average,,,"When hitting the hull or armor, there is a %s chance to generate an arc that strikes weapons and engines, dealing additional damage equal to the original hit.",20%,,,,8201
FixG-S Launcher,FOB_fixg_s,1,0.5,500,1500,,200,,15,10,5,12,0.1,,ENERGY,,,0,1,,,,,,,,500,300,5,150,"ANTI_FTR,DO_NOT_AIM","missile2,energy3,fob_bp",,Foundation of Borken,,Close Support,,,,,,,,,,8203
Plasmoid ASC Mk.I,FOB_plasmoid_s,1,,600,700,,100,,5,45,7,,,,KINETIC,120,,0,4.2,6,0.16,1,10,1,15,,800,,,35,,"kinetic8,fob_bp",,Foundation of Borken,,Anti Shield,,,,,"After %s (including %s) ends, firing within %s seconds will generate secondary projectiles, dealing up to %s kinetic damage (each shot dealing %s).",,,,,8205
Sine Repeater Mk.I,FOB_sinerepeater_s,1,,1000,500,,10,10,,100,6,,,,ENERGY,8,,0,0.0666,,,0,0,0,0,,1000,,,100,"PD, ANTI_FTR","energy2,pd7,fob_bp",,Foundation of Borken,,Suppression/Point Defense (Ranged),,,,Sinusoidal (poor),"When a projectile from the [ %s ] series hits a target with a collision volume less than %s, it triggers an explosion dealing %s fragment damage (each target has a %s-second cooldown, with subsequent hits reducing the cooldown by %s seconds).",,The recoil of this weapon remains unchanged when fired.,,,333008
Roaring Thunderbolt (fighter),FOB_roaringbolt_f,,,,500,,150,150,10,15,,6,0.25,3,ENERGY,180,,0.5,5.3,3,0.1,3,12,3,10,,700,,,,SYSTEM,,,Foundation of Borken,,General,,Average,,,"When hitting the hull or armor, there is a %s chance to generate an arc that strikes weapons and engines, dealing additional damage equal to the original hit.",20%,,,,8201
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greystab Mk.III,FOB_greystab_iii,1,0.75,2000,700,735,,,200,10,10,,,,ENERGY,,655,0.8,0.4,1.5,5.9,,,,,10000,,,,,,"energy6,beam8,fob_bp",,Foundation of Borken,,Anti Armor,,,,,,,"If the ship has %s, its cooldown becomes %s.",Deepspace Navigation | 0,,8210
Roaring Thunderbolt M,FOB_roaringbolt_m,1,,1500,700,,150,150,10,15,11,,,,ENERGY,180,,0.5,5.2,4,0.1,3,12,3,10,,700,,,,,"energy10,fob_bp",,Foundation of Borken,,General,,Average,,,"When hitting the hull or armor, there is a %s chance to generate an arc that strikes weapons and engines, dealing additional damage equal to the original hit.",,,,,8211
Halo Microwave Cannon Mk.III,FOB_halocannon_m,1,,2250,600,,400,,0,8,12,,,,ENERGY,480,,0.5,0.612,,,,,,,,800,,,,,"energy10,strike10,fob_bp",,Foundation of Borken,,General,,,,,"When the [ %s ] series hits the target's hull multiple times, each hit has up to a %s chance to trigger [ %s ] (can only be triggered once every %s seconds).
[ %s ]: The target takes damage equal to %s of its current hull value (capped at %s and affected by hull damage modifiers).",,,,,8212
FixG-M Launcher,FOB_fixg_m,2,0.5,2500,1500,,200,,15,10,14,30,0.3,6,ENERGY,,,0,4.75,2,0.25,,,,,,500,300,5,150,"ANTI_FTR,DO_NOT_AIM,CONSERVE_1","missile5,energy8,fob_bp",,Foundation of Borken,,Close Support,,,,,,,"When the ship enters phase, current ammo reload progress is increased by %s (%s second cooldown).",25% | 5,,8213
Plasmoid ASC Mk.II,FOB_plasmoid_m,2,,2250,800,,100,,5,30,15,,,,KINETIC,120,,0,4.36,5,0.16,1,8,0.75,12,,800,,,35,,"kinetic14,fob_bp",,Foundation of Borken,,Anti Shield,,,,,"After %s (including %s) ends, firing within %s seconds will generate secondary projectiles, dealing up to %s kinetic damage (each shot dealing %s).",,,,,8214
Raska AAC,FOB_raska,2,,2500,800,,100,,10,20,12,,,,HIGH_EXPLOSIVE,100,,0,3.175,3,0.08,1,3,0.5,1,,1000,,,30,,"he11, fob_bp",,Foundation of Borken,,Anti Armor,,,,,,,,,,8215
Sine Repeater Mk.II,FOB_sinerepeater_m,1,,2000,600,,10,10,,60,10,,,,ENERGY,8,,0,0.08,,,0,0,0,0,,1000,,,100,"PD, ANTI_FTR","energy8,pd16,fob_bp",,Foundation of Borken,,Suppression/Point Defense (Ranged),,,,Sinusoidal (poor),"When a projectile from the [ %s ] series hits a target with a collision volume less than %s, it triggers an explosion dealing %s fragment damage (each target has a %s-second cooldown, with subsequent hits reducing the cooldown by %s seconds).",,The recoil of this weapon remains unchanged when fired.,,,333007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greystab Type IV,FOB_greystab_iv,2,0.75,5000,800,1653,,,300,4,25,,,,ENERGY,,1175,0.8,0.4,1.5,6.3,,,,,10000,,,,,,"energy8,beam18,fob_bp",,Foundation of Borken,,Anti Armor,,,,,,,"If the ship has %s, its cooldown becomes %s.",Deepspace Navigation | 0,,8220
Roaring Thunderbolt L,FOB_roaringbolt_l,2,,4000,800,,150,150,10,10,22,,,,ENERGY,180,,0.5,4.1,5,0.1,3,12,3,10,,700,,,,,"energy16,fob_bp",,Foundation of Borken,,General,,Average,,,"When hitting the hull or armor, there is a %s chance to generate an arc that strikes weapons and engines, dealing additional damage equal to the original hit.",,,,,8221
Halo Microwave Cannon Mk.VI,FOB_halocannon_l,3,,7500,700,,400,,0,5,26,,,,ENERGY,400,,0.5,0.1667,,,,,,,,800,,,,,"energy18,strike15,fob_bp",,Foundation of Borken,,General,,,,,"When a projectile from the [ %s ] series hits a target with a collision volume less than %s, it triggers an explosion dealing %s fragment damage (each target has a %s-second cooldown, with subsequent hits reducing the cooldown by %s seconds).",,,,,8222
FixG-L Launcher,FOB_fixg_l,3,0.5,8000,1500,,200,,15,4,25,60,0.5,20,ENERGY,,,0,9.25,4,0.25,,,,,,500,300,5,150,"ANTI_FTR,DO_NOT_AIM,CONSERVE_1","missile10,energy15,fob_bp",,Foundation of Borken,,Close Support,,,,,,,"When the ship enters phase, current ammo reload progress is increased by %s (%s second cooldown).",25% | 5,,8223
