name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DRACO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remora (Draco),hmi_draco_remora,Frigate,Draco Tech,highenergyfocus,3,1200,200,1000,1000,80,30,,125,90,80,90,120,125,OMNI,,90,0.4,0.6,,,20,40,60,60,0.5,120,10,11000,8,20,180,0.25,3,3,,,,,,,,draco_bp,,0.5,2,2,,203.5
Centurion (Draco),hmi_draco_centurion,Heavy Frigate,Draco Tech,emp,5,1850,400,2400,2188,185,55,,100,80,90,40,80,300,OMNI,,360,0.4,0.8,,,30,50,50,25,1,25,10,20000,8,10,240,0.25,4,4,,,,,,,,draco_bp,,0.4,2,2,,219
Vigilance (Draco),hmi_draco_vigilance,Frigate,Draco Tech,highenergyfocus,5,1400,200,2000,2250,180,45,,110,120,100,45,90,100,OMNI,,150,0.4,0.8,,,10,25,40,25,1,25,10,10000,8,10,240,0.25,5,5,,,,,,,,draco_bp,,0.5,2,2,,208
Brawler (Draco),hmi_draco_brawler,Gunship,Draco Tech,plasmajets,7,1850,400,3000,3125,250,50,,100,180,120,60,120,250,FRONT,,270,0.4,0.8,,,15,30,40,20,1,20,9,12000,8,10,300,0.25,6,6,,,,,,,,draco_bp,,0.4,2,2,,207
Appeasement (Draco),hmi_draco_appeasement,Frigate,Draco Tech,hmi_draco_bridgehead,8,1000,450,4600,5000,200,65,,125,100,90,50,100,200,FRONT,,360,0.4,1,,,5,10,25,50,1,50,10,36000,10,20,180,0.25,9,9,,,,,,,,draco_bp,0.1,0.5,2,2,,210.221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,
Sunder (Draco),hmi_draco_sunder,Destroyer,Draco Tech,highenergyfocus,11,4000,250,7500,8333,500,105,,90,80,60,30,30,350,FRONT,,300,0.4,1.2,,,50,70,80,50,2,25,9,45000,5,15,300,0.25,13,13,,,,,,,,draco_bp,,0.5,2,3,,301
Hammerhead (Draco),hmi_draco_hammerhead,Destroyer,Draco Tech,highenergyfocus,12,4750,475,4800,4167,285,95,,115,85,80,40,60,400,FRONT,,220,0.4,0.6,,,50,100,100,60,2,30,9,48000,5,14,360,0.25,12,12,,,,,,,,draco_bp,,0.5,2,3,,11018.5
Hippocampus (Draco),hmi_draco_hippocampus,Artillery Carrier,Draco Tech,fastmissileracks,16,8500,165,3850,2833,265,80,1,50,35,15,25,20,400,OMNI,,220,0.4,0.6,,,100,220,185,100,2,50,8,42500,4,8,360,0.25,16,16,,,,,,,CARRIER,draco_bp,,0.6,2,3,,305.1111
Drover (Draco),hmi_draco_drover,Light Carrier,Draco Tech,targetingfeed,12,4250,400,3000,2813,225,80,2,75,60,50,25,25,450,FRONT,,300,0.4,0.8,,,90,150,40,40,2,20,9,52000,5,15,360,0.25,15,15,,,,,,,"CARRIER, COMBAT",draco_bp,,0.5,2,3,,318
Pardon (Draco),hmi_draco_pardon,Destroyer,Draco Tech,hmi_draco_bridgehead_med,14,3800,650,13000,10000,320,120,,70,65,60,30,30,400,FRONT,,360,0.4,0.8,,,35,50,60,100,2,50,9,86000,5,20,300,0.25,16,16,,,,,,,,draco_bp,0.1,0.5,2,3,,314.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
