id,type,text1,text2,text3,notes
# FRIGATES FRIGATES FRIGATES,,,,,
,,,,,
hmi_fang_kite,SHIP,"Given a slap of paint by the Fang Society, this little civilian shuttle is used as a small torpedo boat to nimbly strike at stricken targets.

A familiar civilian design, the ""Kite""-class aeroshuttle is the day-to-day reminder of Fabrique Orbitale's reputation for aeronautical engineering- a valuable specialty even in the age of space travel. This compact space/aircraft is streamlined for efficient atmospheric flight and boasts a grid of cleverly distributed short-burst manoeuvring thrusters coordinated by a delta-level AI subsystem to ensure smooth landings (a point driven home by Fabrique marketing by way of amusing ad-holos featuring a well-dressed couple and an overfull wine glass). The Kite has powerful engines for a civilian ship of its size, though zero-G manoeuvrability leaves something to be desired when the special subsystem is not engaged.

In the dangerous cycles post-Collapse, the Kite has been outfitted with a defense turret in place of the executive-class viewing dome and the two auxiliary jet-pods are replaced with missile systems (which do not need to draw on the limited powerplant). It won't stand up in a fair fight, but the Kite can be given unexpectedly sharp teeth and use its speed to escape from raiders. Luddic Path radicals have even been known to use modified Kite to deliver strike weapons against helpless freighters, followed by engaging the manoeuvring subsystem to make a swift exit to avoid the wrath of their victim's escort.",,,
hmi_fang_cerberus,SHIP,"A somewhat simple modification by the Fang Society, this Cerberus has been improved with an accelerated ammunition feeder system at the cost of it's burn drive. The result is a somewhat vulnerable little frigate with a truly withering level of firepower.

The Cerberus is prized for providing a cost-effective balance between cargo capacity and enough combat power for its size to discourage casual piracy with the happy result of lowered insurance rates compared to standard Domain-era civilian grade freighters. The Cerberus is now widely considered to be a wise choice for independent traders in the Sector. 

In times past, before the fall of the gate system when Domain authority reigned, combat-enabled freighters like the Cerberus found only niche use on the edges of the rare warzone or in especially uncivilized hinterlands of the galaxy where Domain Armada patrols were stretched thinly. The crew combat training, weapon maintenance, and mass/thrust ratio loss caused by heavier armour were viewed as causing unnecessary cost overhead. But this is a new age filled with both danger and profitable opportunities; the abilities of the Cerberus have given the hull a new life in the trade lanes.",,,
hmi_fang_shepherd,SHIP,"Modified by the  Fang Society, this ship has the Borer Drone Autofactory stripped out to accommodate a Talon autofactory. Further, the small mounts have been altered for missile capability, enabling the vessel to also function as an effective if light missile and interceptor boat. The changes however make the ship require a larger crew than is physically possible to fit on the ship, causing some logistical issues in accommodating crew on other ships.

The Ko Combine r450 ""Shepherd"" sets the standard for civilian drone tenders with unmatched reliability, low cost, and internal volume given to crew comfort. A wildly popular combat modification package has been assembled by various survivalist and pirate groups, the ""HK"" mod, which consists of specifications to up-armour the hull for combat and supercharge factory-spec systems for greater burst speed and weapon function. Even modified, the Shepherd is fragile, so as in civilian life it relies on a swarm of “Borer” utility drones to do its work.

 The ""Borer"" is built on a hardy, manoeuvrable semi-autonomous drone chassis with shielding suitable for hazardous operations in which high radiation or physical impacts may be expected. Commonly used in mining applications, they have also found use in salvage, ordnance disposal, and even fission meltdown clean-up. The HK mod package gives specifications for altering the primary cutting beam's focus and patches the rudimentary AI with crude tactical algorithms pirated from obsolete Domain Colonial Garrison drone software. Appendices of the mod package recommend caution when employing HK-modified drones in non-combat situations.",,,
hmi_fang_vanguard,SHIP,"This Fang Society overhaul of the venerable Vanguard design integrates a down-sized Orion Device into the hull. Further, the Damper Field has been modified by more devious members of the Fang Society to enable the ship to fire while the field is active. The result is a very mobile, thickly armoured ship capable of surviving surprising amounts of damage.

This design is old enough to be contemporary with early models of the Onslaught battleship, though unlike that illustrious pillar of the Domain Navy the Vanguard was retired from service long before the collapse of the Gate network. In the post-Collapse chaos it was a chance discovery by an enterprising arms dealer that saw relatively complete schematics of the Vanguard-class heavy frigate lifted from an overlooked museum exhibit. The atavistic and aggressive design opens an unexpected niche for the Vanguard in modern fleets - with the added advantage that all essential components have been declassified for ages, and are of simple make; even repair of catastrophic damage is relatively straightforward.",,,
hmi_fang_charlie,SHIP,"An unusual vessel, the Charlie (also known as the Muntz) is a Fang Society phase vessel. Utilising an improved version of the Gremlin cloak called the Ring cloak, this ship can temporarily accelerate time on emerging from phase space. Combined with an aggressive arms package, thick armour and an Orion Device movement system, this ship can rapidly approach and demolish targets with overwhelming power. However, the Ring Cloak requires a cooldown before it can plunge the ship back into phase, leaving it vulnerable if the initial strike fails.

While the Gremlin's phase coil set up is well known for being a truly horrific set up due to the psychological impact it has on crews, the Ring Cloak system is a altogether kinder derivative of the phase coil. While the Ring Cloak requires regular flux redistribution in the coils every time the ship emerges from p-space, the thick structure and sheer bulk of the redistribution system shields the crew from anomalous phase variations while also allowing the ship to temporarily 'bleed' with phase space, allowing temporal acceleration on emergence. This of course makes the vessel more vulnerable when existing p-space, which is the key drawback to the cloak.",,,
,,,,,
hmi_draco_brawler,SHIP,"A Brawler modified by the Draco Group, this ship has an Aegis EMP Arc System and bears the hallmarks of Tri-Tachyon modification. The result is a fast, energy-based gunship, able to move nimbly into combat, while also protecting its vulnerable rear with the Aegis EMP Arc system, vastly improving its survivability.

Typically deployed to beef up system police forces and port authority security, the Brawler-class frigate is a robust design which trades mobility (and comfort) for impressive firepower, armor, and a destroyer-grade power generator.",,,
hmi_draco_vigilance,SHIP,"Modified by the Draco Group, this Vigilance has an Aegis EMP Arc System which emits protective EMP arcs depending the ship's flux level. It has also been altered using the Tri-Tachyon modification package, replacing ballistic capability and the missile reloading system with High Energy Focus. The result is an effective strike vessel or a dangerous support ship.

An excellent harasser and support frigate, the Vigilance-class has oversized (for its class) energy and missile mounts. While it shines in a fleet setting, it can be easily overwhelmed by large numbers of smaller threats.",,,
