name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
##Brighton Scavanged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentry (BRV),sentry_scav,Frigate,Brighton Reconstruction,flarelauncher,3,1350,150,650,1250,100,30,,100,85,85,55,90,120,NONE,,0,0,0,,,10,15,10,10,1,10,9,8500,5,5,180,0.25,3,3,,,,,,,ALWAYS_PANIC,hmi_scav_bp,,0.5,2,2,,11008
Picket (BRV),picket_scav,Frigate,Brighton Reconstruction,maneuveringjets,3,2250,285,1500,1250,225,35,,180,165,150,90,120,120,FRONT,,120,0.5,1,,,10,15,15,15,1,15,9,8500,5,5,360,0.25,3,3,,,,,,,,hmi_scav_bp,,0.5,2,2,,11009
Defender (BRV),defender_scav,Frigate,Brighton Reconstruction,flarelauncher,3,2400,325,1650,1250,200,40,,110,90,90,80,100,160,OMNI,,90,0.5,1,,,10,15,20,20,1,20,9,8500,5,5,360,0.25,3,3,,,,,,,,hmi_scav_bp,,0.5,2,2,,11010
Defender (Mk II),defender_scav_mk2,Mod-Frigate,Brighton Reconstruction,maneuveringjets,3,1800,250,1000,1250,185,30,,120,100,90,100,110,160,NONE,,0,0,0,,,10,15,5,20,1,20,9,9000,5,5,240,0.25,3,3,,,,,,,,hmi_scav_bp,,0.5,2,2,,11011
Glimmer (BRV),glimmer_scav,Frigate,Brighton Reconstruction,highenergyfocus,4,1350,180,2250,3125,190,50,,120,230,200,85,235,200,OMNI, ,120,0.4,0.6,,,20,30,60,40,1,40,11,30000,5,10,360,0.25,4,4,,,,,,,,hmi_scav_bp,0.5,0.5,2,2,,11012
Lumen (BRV),lumen_scav,Frigate,Brighton Reconstruction,displacer,4,850,100,2650,2500,225,40,,165,250,200,90,270,150,FRONT, ,210,0.4,0.6,,,20,30,40,40,1,40,11,20000,5,5,360,0.25,4,4,,,,,,,,hmi_scav_bp,0.5,0.5,2,2,,11013
Lumen (BRV-X),lumen_scav_X,Overclocked Frigate,Brighton Reconstruction,plasmajets,5,1050,185,3050,2500,300,65,,120,250,200,80,270,150,FRONT,,210,0.4,0.6,,,20,30,40,40,1,40,11,35000,5,10,360,0.25,5,5,,,,,,,,hmi_scav_bp,0.1,0.5,2,2,,11014
Fulgent (BRV),fulgent_scav,Destroyer,Brighton Reconstruction,highenergyfocus,11,5000,275,6250,5850,295,110,,95,75,75,40,50,500,OMNI, ,120,0.4,0.6,,,50,75,80,60,2,30,10,120000,5,15,360,0.25,11,11,,,,,,,,hmi_scav_bp,0.5,0.5,2,2,,11014.1
Scintilla (BRV),scintilla_scav,Battlecarrier,Brighton Reconstruction,hmi_recalldevice,12,2500,200,6700,2500,315,75,2,80,60,25,20,15,500,FRONT,,210,0.4,0.6,,,60,120,40,60,2,30,10,120000,5,20,420,0.25,12,12,,,,,,,CARRIER,hmi_scav_bp,0.5,0.5,2,3,,11015
Bastillon (BRV),bastillon_scav,Destroyer,Brighton Reconstruction,maneuveringjets,8,6500,400,6700,3125,255,120,,60,30,20,20,20,400,FRONT,,150,0.5,1,,,50,75,150,60,2,30,9,41000,5,12,360,0.25,8,8,,,,,,,,hmi_scav_bp,,0.5,2,3,,317.1
Berserker (BRV),berserker_scav,Carrier,Brighton Reconstruction,flarelauncher,14,4000,450,2400,2813,185,95,3,30,25,15,18,18,450,OMNI,,90,0.5,1.4,,,100,200,100,40,2,20,8,42000,5,12,360,0.25,16,16,,,,,,,CARRIER,hmi_scav_bp,,0.5,2,3,,11016
Apogee (BRV),apogee_scav,Cruiser,Brighton Reconstruction,highenergyfocus,14,8250,650,11000,14000,680,140,,60,40,30,20,25,2000,FRONT,,360,0.6,0.7,,,175,450,400,200,2,100,8,130000,3,15,360,0.25,18,18,,,,,,,,hmi_scav_bp,,0.6,2,3,,403
Apex (BRV),apex_scav,Cruiser,Brighton Reconstruction,highenergyfocus,18,12000,1000,10000,11000,550,150,2,50,35,30,12,18,3000,FRONT,,180,0.4,0.6,,,280,340,120,90,3,30,9,180000,5,15,540,0.25,30,30,,,,,,,,rare_bp,0.5,0.5,2,3,,414
Brilliant (BRV),brilliant_scav,Battlecarrier,Brighton Reconstruction,maneuveringjets,20,14000,1250,7600,12000,465,140,1,45,25,25,30,25,2000,OMNI,,120,0.5,0.8,,,120,240,125,60,4,15,9,185000,3,15,540,0.25,24,24,,,,,,,,rare_bp,0.5,0.5,2,3,,11017
Rampart (BRV),rampart_scav,Carrier Freighter,Brighton Reconstruction,flarelauncher,24,17500,950,8000,5625,350,130,4,30,20,10,12,10,2100,OMNI,,90,0.6,1.2,,,425,525,550,60,4,15,8,160000,5,12,480,0.25,32,32,,,,,,,CARRIER,hmi_scav_bp,,0.5,2,3,,11017.1
Odyssey (BRV),odyssey_scav,Battlecruiser,Brighton Reconstruction,maneuveringjets,30,8500,925,15000,25000,1000,280,2,55,45,35,10,16,2400,OMNI,,180,0.4,1,,,500,800,350,450,8,56,8,320000,4,12,540,0.25,42,42,,,,,,,,rare_bp,,0.6,2,4,,505
Nova (BRV),nova_scav,Battlecruiser,Brighton Reconstruction,orion_device,24,11000,800,11000,25000,850,280,,80,70,50,12,16,3000,OMNI,,90,0.4,1.2,,,300,400,200,300,10,30,8,340000,3,15,600,0.25,40,40,,,,,,,,rare_bp,0.2,0.5,2,4,,514
Radiant (BRV),radiant_scav,Battlecarrier,Brighton Reconstruction,burndrive,40,28500,1500,18000,37500,875,320,2,30,20,10,7,10,3500,OMNI,,210,0.6,1,,,525,800,300,400,15,27,7,670000,3,12,540,0.25,50,50,,,,,,,,rare_bp,0.1,0.5,2,4,,11017.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##Domain Resurgent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sifter Scavenger (DomRes),domres_sifter_drone,,Autonomous Domain Resurgent,,,500,125,85,,100,0,,115,120,120,60,90,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,108.111
