id,type,text1,text2,text3,notes
# SHIPS SHIPS SHIPS,,,,,
# SCAVANGE SCAVENGE SCAVENGE,,,,,
,,,,,
sentry_scav,SHIP,"Several missile-based weapon mounts lashed together in a vaguely Sentry-shaped object, this vessel provides a cheap source of missile support in combat.

The large amount of automated drones left behind by the Domain Expansion regularly mean a lot of automated drone parts left behind by scavengers and pirates. Naturally, even more desperate men and women combine these disparate damaged hulls into somewhat combat capable, human-pilotable ships. Used consistently by the Brighton Federation during their exodus, the usage of reconstructed drones persists in the current era due to a modicum of functionality after some slight modification work and a notoriously low logistics profile.",,,
picket_scav,SHIP,"A flying, shielded metal box filled with bullets, this possibly-Picket inspired ship has a mildly concerning amount of forward firepower.

The large amount of automated drones left behind by the Domain Expansion regularly mean a lot of automated drone parts left behind by scavengers and pirates. Naturally, even more desperate men and women combine these disparate damaged hulls into somewhat combat capable, human-pilotable ships. Used consistently by the Brighton Federation during their exodus, the usage of reconstructed drones persists in the current era due to a modicum of functionality after some slight modification work and a notoriously low logistics profile.",,,
defender_scav,SHIP,"A somewhat common hull, this construction is little more than a mobile flak cannon and a cheap shield jenny. However, sometimes all you need is a cheap, mobile flak cannon that can take a hit or two. 

The large amount of automated drones left behind by the Domain Expansion regularly mean a lot of automated drone parts left behind by scavengers and pirates. Naturally, even more desperate men and women combine these disparate damaged hulls into somewhat combat capable, human-pilotable ships. Used consistently by the Brighton Federation during their exodus, the usage of reconstructed drones persists in the current era due to a modicum of functionality after some slight modification work and a notoriously low logistics profile.",,,
defender_scav_mk2,SHIP,"Originally the result of a bet, an enterprising engineering adept took the concept of a Mudskipper Mk II., and then applied it to a Defender-shaped assembly. The result was more fragile, but much more able to dodge around the battlefield to supply close support. A cheap escort artillery piece, this hull should be kept far away from missiles, fighters, and actual combat.

The large amount of automated drones left behind by the Domain Expansion regularly mean a lot of automated drone parts left behind by scavengers and pirates. Naturally, even more desperate men and women combine these disparate damaged hulls into somewhat combat capable, human-pilotable ships. Used consistently by the Brighton Federation during their exodus, the usage of reconstructed drones persists in the current era due to a modicum of functionality after some slight modification work and a notoriously low logistics profile.",,,
glimmer_scav,SHIP,"A somewhat unstable construction, this Glimmer look-alike maintains a lot of the systems salvaged from it's vessel inspiration.

 The large amount of automated drones left behind by the Domain Expansion regularly mean a lot of automated drone parts left behind by scavangers and pirates. Naturally, even more desperate men and women combine these disparate damaged hulls into somewhat combat capable, human-pilotable ships. Used consistently by the Brighton Federation during their exodus, the usage of reconstructed drones persists in the current era due to a modicum of functionality after some slight modification work.",,,
lumen_scav,SHIP,"While not very well put together, this Lumen-inspired hull serves as a cheap stop-gap alternative to the Wolf.

The large amount of automated drones left behind by the Domain Expansion regularly mean a lot of automated drone parts left behind by scavengers and pirates. Naturally, even more desperate men and women combine these disperate damaged hulls into somewhat combat capable,  human-pilotable ships. Used consistently by the Brighton Federation during their exodus, the usage of reconstructed drones persists in the current era due to a modicum of functionality after some slight modification work.",,,
lumen_scav_X,SHIP,"A modification of a Lumen conglomerate, this uparmed vessel is the cheap and cheerful derivative of the experimental Scarab. To compensate for a lack of space-time manipulating technology, this ship is equipped with engine overdrivers and heavier weapon armament. Said alterations to an already poorly constructed vessel prevent long-term use of the ship in combat, but this ship should not be underestimated in its ability to catch and kill small targets.

The large amount of automated drones left behind by the Domain Expansion regularly mean a lot of automated drone parts left behind by scavengers and pirates. Naturally, even more desperate men and women combine these disparate damaged hulls into somewhat combat capable, human-pilotable ships. Used consistently by the Brighton Federation during their exodus, the usage of reconstructed drones persists in the current era due to a modicum of functionality after some slight modification work.",,,
fulgent_scav,SHIP,"Comprised of several different, scavenged Fulgent hulls, this ship has comparable ability to the base model. Considering the difficulty in acquiring the parts for this ship, it's considered an object of prestige amongst the Brighton Guardians.

The large amount of automated drones left behind by the Domain Expansion regularly mean a lot of automated drone parts left behind by scavengers and pirates. Naturally, even more desperate men and women combine these disparate damaged hulls into somewhat combat capable, human-pilotable ships. Used consistently by the Brighton Federation during their exodus, the usage of reconstructed drones persists in the current era due to a modicum of functionality after some slight modification work.",,,
bastillon_scav,SHIP,"On finding the Bastillion chasis lackluster, the Brighton Federation instead altered the ship to produce a somewhat original construction. The new assembly has several weaknesses in the base Bastillion's legendary armour and hull hardness, but the addition of a shield generator along with more heavy firepower capability makes this ship a hull of choice for many Brighton patrols. 

The large amount of automated drones left behind by the Domain Expansion regularly mean a lot of automated drone parts left behind by scavengers and pirates. Naturally, even more desperate men and women combine these disparate damaged hulls into somewhat combat capable, human-pilotable ships. Used consistently by the Brighton Federation during their exodus, the usage of reconstructed drones persists in the current era due to a modicum of functionality after some slight modification work and a notoriously low logistics profile.",,,
