id,type,text1,text2,text3,notes
LTA_Epattcudi,SHIP,"The ship modification on record as the “Epattcud I” is less a functional ship and more a mess of loosely welded and oversized armor plates, sheet metal and flux coils, rigged to a set of barely burn-capable engine parts from a variety of ships.
Its reasonably competent flux systems barely accommodate its bulky frame and weapons mounts, though it has been rigged to support what amounts to a large ballistic turret.

First found floating above the Hegemony base of Ancyra, its crew out-of-supplies and fuel, the small hegemony patrol fleet that uncovered the ship decided to classify this strange ship design ethos as “Epattcud”, in an effort to make it easier for them to identify amid the rather immense variety and specification differences in off-blueprint or part-autofactoried ships. Though rumour states that in fact the name originated as a joke, aimed at the dubiously viable construction of the ship in question. The name has quickly caught on, and is now used to classify a large number of off-book ship designs and styles of mostly unknown or unorthodox origins.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudii,SHIP,"The “Epattcud II” appears to be a collection of scrapped Enforcer hulls, gutted and welded onto the front and interior of a Dominator class cruiser's frontal armament, despite its appearance this ship boasts a fairly competent turret layout, and a standard-industry autofactory has been integrated into the hull and hacked to produce small machine-gun equipped pilotless drones. The small frame of this cruiser appears to lend some maneuverability, but its turret arrangement and pd coverage potential is anaemic at best.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudiii,SHIP,"An attempt to install a large missile bay behind undersized mounts, the “Epattcud III” styled scrapships appear to be pieced together from busted up Hound and Dominator parts. They often sport unorthodox combinations of readily available missile types, and are known to have use as a sub-standard but still functional sensor array. The Dominator segments appear to have retained their internal ammo feeder and mounting clamps, so many variants of this ship are known to sport oversized, under-fluxed large cannons.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudiv,SHIP,"The “Epattcud IV” style scrapships are known more for their incredibly poor assembly than their status as actual ships, leading to them scaring older or more inexperienced freight captains with their barely-rigged ammo-feeder modifications. These ships are often under-gunned, under-crewed and under-armored, lending to very few of their sightings to result in civilian or military casualties, save perhaps their own.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudv,SHIP,"The “Epattcud V” is a slow, lumbering carrier armed with a litany of borer drones. The ship has little space for modular designs considering its size, but makes up for it with a relatively functional missile armament and built-in defensive (if temporary) drone systems.

During a patrol, a Hegemony convoy noted the presence of a large number of borer drones, hacking off sections of hull and armor in the Aztlan system ship graveyard, this was the first registered encounter with “Epattcud V” style designs. In a future report, it was noted that they often possess a number of distributed Shepherd drone autofactories, covered by thick hull and a small weapons complement.
It was also discovered that several parts for these style of ship, when recovered, appeared to show evidence of autoforged parts and a colloquial blueprint, keeping all designs far more alike in execution than any seen prior. It is now assumed that Pirates and other unlawfuls have access to at least one major shipyard.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudvi,SHIP,"The Mitigator (or “Epattcud VI” on Hegemony records) is a well-armed, well-armored capital ship with the capacity to form a capable fleet-anchor for a large number of vessels. The military reputation of the design belies that despite its history of combat success, the pirate ships frontal armament is fairly easy to disable en-masse due to the cramped placement of all its frontal weapons.

“Epattcud VI” is the designation assigned to the warship design of unknown origins that covered the pirate assault of Arcadia; little is known of its specifications, though it is thought to be made of mostly nanoforged or autofactory-constructed parts, assembled in two different sections, then joined together to form a full capital ship. The shadow it cast over the station is still etched into the minds of those who live there, and the destruction of the patrol fleets that tried to protect the docking ports has become a story often told in station bars on the fringe. The Hegemony response fleet sent from Corvus arrived to find a terrified populace, panicking amidst a raided station and gutted fuel storage, and has since issued a system warning code specifically for this ship.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudvii,SHIP,"The “Epattcud VII” is one of the more well known scrapship designs, owing to it utilising the melded hulls of many outmoded condor designs, often found in ship graveyards or scrap arrays. Despite this, it is rarely seen, and boasts an underwhelming armament, save for one large over-engineered mount, bolted between the fighter bays inside the ship. Rampant over-welding is often prevalent in this style of ship, due to how thin the armor plating is on the outmoded condor chassis; leading to an overextended, bulky, hard to maneuver hull that is easily overwhelmed in large engagements.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudviii,SHIP,"In a battle between the Hegemony and a rich pirate warlord, several Enforcer class destroyers had their bridge blown out by cannons and bombers from a ship currently classified as “Epattcud VIII”. This rare vessel appears to be an autoforge or nanoforge assisted bastardization of a colossus and a derelict Dominator, with the interior having massive portions directly open to space to provide entry to the various autofactories inside. The impressive frontal firepower of this ship is notably marred by a lack of competent rear protection, though nonetheless it is known to be incredibly potent for a pirate vessel, and mercenary captains are encouraged to report fleets using this design ethos on a ship to the nearest large patrol fleet so they can more safely dispatch it.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudix,SHIP,"A large fast frigate design, the “Epattcud IX” is a known un-blueprinted ship, often constructed from components of many other frigates. They often have large swathes of their exposed hull and armor covered in graffiti, and boast a number of different weapon mounts. They are also known for their often reckless captains, who have been known to over-extend into mercenary fleet lines and get disabled by fighter fire.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudx,SHIP,"A horror story whispered of in fringe ports, the “Epattcud X” is a nightmarish tale of an entity, oft disregarded as fiction by Tri-Tachyon commanders, Hegemony officers and Church delegates. If the rumours are to be believed, outer core mercenary companies have had engagements with these gigantic amalgams of various vessels and nanoforged parts, and the Lovecraftian tales stemming from the engagements have often been spread by the few survivors of such encounters.

Monstrously large, these vessels are a pirate symbol of power, boasting the most valuable parts of the most expensive ships the pirates have been able to gut out and reform. When out of fuel, such ships are large enough to become a temporary pirate base until refueling endevours are undertaken, and their tactical prowess is only marginally sullied by absence of competent engine defense systems. Their frontal array is almost always spoken of as being bolstered by a number of ripped-out Onslaught TPC batteries, and reports of crew being blown out of maintenance decks by unexpected static mines are prevalent.


Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
